#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
#ltable=POINTER
_id,ltable.ID,rtable.ID,ltable.Title,ltable.Author,ltable.ISBN_13,ltable.Publisher,rtable.Title,rtable.Author,rtable.ISBN_13,rtable.Publisher,gold
10190,45,5270,Schaum's Outline of Essential Computer Mathematics,Seymour Lipschutz,978-0070379909,McGraw-Hill Education,Schaum's Outline of Essential Computer Mathematics / Edition 1,Seymour Lipschutz,978-0070379909,McGraw-Hill Professional Publishing,1
11468,51,9592,Digital Signal Processing: A Computer-Based Approach,Sanjit K. Mitra,978-0070429536,Mcgraw-Hill College,Optical Filter Design and Analysis: A Signal Processing Approach / Edition 1,Christi K. Madsen# Jian H. Zhao,978-0471183730,Wiley,0
16638,82,9776,Schaum's Outline of Computer Networking,Ed Tittel,978-0521782586,McGraw-Hill Education,Schaum's Outline of XML,Ed Tittel,978-0071398350,McGraw-Hill Education,0
20741,113,5484,How to Do Everything with Your iPhone,Jason Chen# Adam Pash,978-0071497909,McGraw-Hill Education,How to Do Everything iCloud,Jason R. Rich,978-0071790185,McGraw-Hill Education,0
23425,135,1147,CISSP Practice Exams,Shon Harris,978-0071701396,McGraw-Hill Osborne Media,"CISSP Practice Exams, Third Edition",Shon Harris,978-0071845403,McGraw-Hill Education,1
23615,137,3097,"Mike Meyers' CompTIA A  Guide to Managing & Troubleshooting PCs Lab Manual, Third Edition",Michael Meyers,978-0071702997,McGraw-Hill Osborne Media,"Mike Meyers' CompTIA Network+ Guide to Managing and Troubleshooting Networks, Fourth Edition (Exam N10-006)",Mike Meyers,978-0071848275,McGraw-Hill Professional Publishing,0
27952,170,3234,Windows 7 for Seniors QuickSteps,Marty Matthews,978-0071768054,McGraw-Hill Education,Windows 8.1 for Seniors Quicksteps,Marty Matthews,978-0071832588,McGraw-Hill Professional Publishing,0
28281,172,6198,"Mike Meyers' CompTIA Security+ Certification Passport, Third Edition",T. J. Samuelle,978-0071770385,McGraw-Hill Education,Mike Meyers' CompTIA Security+ Certification Passport 3rd Edition (Exam SY0-301) / Edition 3,T. J. Samuelle,978-0071770385,McGraw-Hill Professional Publishing,1
28515,174,1525,CompTIA Security+ Certification Study Guide,Glen E. Clarke,978-0071771405,McGraw-Hill Education,"CompTIA Network+ Certification Study Guide, 5th Edition (Exam N10-005)",Glen E. Clarke,978-0071799829,McGraw-Hill Education,0
28981,183,8428,How to Do Everything iPhone 4S,Guy Hart-Davis,978-0071783071,McGraw-Hill Education,"How to Do Everything iPod, iPhone & iTunes, Fifth Edition",Guy Hart-Davis,978-0071630238,McGraw-Hill Education,0
