ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
0,A Guide to the Project Management Body of Knowledge (Pmbok Guide) - 5th Edition / Edition 5,Project Management Institute,,$38.17 ,,,9.78194E+12,978-1935589679,,Project Management Institute,,332,589,10.86(w) x 8.26(h) x 1.24(d)
1,Windows 10: The Missing Manual,David Pogue,,$23.41 ,$19.99 ,,9.78149E+12,978-1491947173,,"O'Reilly Media, Incorporated",,300,696,7.00(w) x 9.20(h) x 1.40(d)
2,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",Gene Kim# Kevin Behr# George Spafford, ,$13.17 ,$9.99 ,,9.78099E+12,978-0988262508,,IT Revolution Press,,"30,046",376,5.90(w) x 8.90(h) x 1.10(d)
3,Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,$17.46 ,,$14.99 ,$31.83 ,9.78159E+12,978-1594205552,,Penguin Publishing Group,,238,448,
4,A Work in Progress,Connor Franta,,$12.17 ,$12.99 ,,9.78148E+12,978-1476791616,,Atria/Keywords Press,,266,224,5.40(w) x 8.30(h) x 0.80(d)
5,Windows 10 For Dummies,Andy Rathbone,,$15.36 ,$12.99 ,,9.78112E+12,978-1119049364,,Wiley,,476,432,7.30(w) x 9.20(h) x 0.90(d)
6,DotCom Secrets: The Underground Playbook for Growing Your Company Online,Russell Brunson,,$11.54 ,$8.49 ,,9.78163E+12,978-1630474775,,Morgan James Publishing,,"1,685",236,5.40(w) x 8.40(h) x 0.80(d)
7,Ask: The Counterintuitive Online Formula to Discover Exactly What Your Customers Want to Buy...Create a Mass of Raving Fans...and Take Any Business to the Next Level,Ryan Levesque,,$7.21 ,$6.99 ,,9.78194E+12,978-1939447722,,Dunham Books,,"2,547",160,5.50(w) x 8.40(h) x 0.60(d)
8,Youtube : I Invented You Tube,Eric Skaggs,,,,,9.78131E+12,978-1312931596,,Lulu.com,,"4,161",,
9,"Alan Turing: The Enigma: The Book That Inspired the Film ""The Imitation Game""",Andrew Hodges,,$13.05 ,$6.78 ,,9.78069E+12,978-0691164724,,Princeton University Press,,"17,053",768,5.00(w) x 7.70(h) x 2.20(d)
10,Minecraft Craftings,Ika Maisuradze,,,,,9.78277E+12,978-2765913511,,Ika Maisuradze,,"10,063",,
11,"Candy Crush Soda Saga: The Juicy, Tasty, Sodalicious, and Soda Crush, Unofficial Player's Guide with Secret Tips, Tricks and Strategies",Jack Adams,,,,,2.94005E+12,294-0046317978,,Jack Adams,,"10,535",,
12,Steve Jobs,Walter Isaacson,$21.34 ,$12.27 ,$12.99 ,$19.19 ,9.78145E+12,978-1451648546,,Simon & Schuster,,925,656,6.38(w) x 9.02(h) x 1.56(d)
13,Turn Your Story into an eBook: Easy Self-Publishing with Draft2Digital.com (Unstressed Syllables Presents),Aaron Pogue,,,,,2.94002E+12,294-0015963328,Unstressed Syllables Presents,Masked Fox Productions,,"14,345",,
14,Windows 10 For Seniors For Dummies,Peter Weverka,,$14.59 ,$12.99 ,,9.78112E+12,978-1119038597,,Wiley,,392,336,7.30(w) x 9.20(h) x 0.80(d)
15,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull# Amy Wallace,$16.66 ,,$13.99 ,$24.55 ,9.78081E+12,978-0812993011,,Random House Publishing Group,,768,368,6.20(w) x 9.40(h) x 2.20(d)
16,"CompTIA A+ Certification All-in-One Exam Guide, 8th Edition (Exams 220-801 & 220-802)",Mike Meyers,,,$45.00 ,,9.78007E+12,978-0071795111,All-in-One,McGraw-Hill Education,,"120,658",1200,
17,Teach Yourself VISUALLY Windows 10,Paul McFedries,,$17.34 ,$15.99 ,,9.78112E+12,978-1119057024,Teach Yourself VISUALLY (Tech) Series,Wiley,,"1,351",352,9.00(w) x 7.40(h) x 0.80(d)
18,"App Storm: Best Kindle Fire Apps, a Torrent of Games, Tools, and Learning Applications, Free and Paid, for Young and Old",Steve Weber,,,,,9.7815E+12,978-1498965040,,Steve Weber,,"18,406",,
19,So You've Been Publicly Shamed,Jon Ronson,$19.06 ,$16.00 ,$13.99 ,$24.43 ,9.78159E+12,978-1594487132,,Penguin Publishing Group,,"45,652",304,
20,"CISSP All-in-One Exam Guide, 6th Edition",Shon Harris,,,$60.00 ,,9.78007E+12,978-0071781732,All-in-One,McGraw-Hill Education,,"449,536",1008,
21,The Church of Facebook: How the Wireless Generation Is Redefining Community,Jesse Rice,,$13.46 ,$10.99 ,,9.78143E+12,978-1434765345,,"Cook, David C",,,240,5.50(w) x 8.20(h) x 0.60(d)
22,MyStatLab Student Access Kit (Standalone),Pearson Education# Pearson Education Staff,,,,,9.78032E+12,978-0321694645,,Pearson,,"21,835",,7.80(w) x 9.80(h) x 0.20(d)
