#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,year_year_exm,year_year_anm,year_year_lev,venue_venue_lev,gold,predicted
0,journals/vldb/DesslochHMMT98,765526,1.0,1.0,0.666666666667,0.0845070422535,1,1
1,journals/vldb/DeWittNSV96,765751,1.0,1.0,0.666666666667,0.0845070422535,1,1
2,journals/tods/GibbonsMP02,581753,1.0,1.0,0.666666666667,0.53488372093,1,1
3,conf/sigmod/ZhugeGHW95,223848,1.0,1.0,0.666666666667,0.239130434783,1,1
4,conf/sigmod/RaoR00,671362,0.0,0.9995,0.0,0.047619047619,0,0
5,conf/sigmod/DeutschFS99,304220,1.0,1.0,0.666666666667,0.239130434783,1,1
6,conf/sigmod/BaruFGHJPW95,223902,1.0,1.0,0.666666666667,0.239130434783,0,0
7,journals/tods/ChenHM95,672042,0.0,0.99700149925,0.0,0.36,0,0
8,conf/sigmod/BumbulisB02,564753,1.0,1.0,0.666666666667,0.239130434783,1,1
9,journals/sigmod/ShahMFH01,604282,1.0,1.0,0.666666666667,0.764705882353,1,1
10,journals/tods/ShashaLSV95,219774,1.0,1.0,0.666666666667,0.24,0,0
11,conf/sigmod/StoltePAG03,671020,0.0,0.99700449326,0.0,0.047619047619,0,0
12,conf/vldb/LevyMS94,335492,0.0,0.997,0.166666666667,0.0217391304348,0,0
13,conf/sigmod/LakhamrajuRSS00,335381,1.0,1.0,0.666666666667,0.239130434783,1,1
14,conf/sigmod/NgLHM99,304575,1.0,1.0,0.666666666667,0.239130434783,1,1
15,conf/vldb/DittrichSTW02,564721,1.0,1.0,0.666666666667,0.0217391304348,0,0
16,conf/vldb/PappasC00,671850,1.0,1.0,0.666666666667,0.190476190476,1,1
17,conf/sigmod/Team95,223843,1.0,1.0,0.666666666667,0.239130434783,0,0
18,journals/tods/Alagic99,328943,1.0,1.0,0.666666666667,0.53488372093,1,1
19,journals/vldb/ScheuermannWZ98,765523,1.0,1.0,0.666666666667,0.0845070422535,1,1
20,conf/vldb/AnkerstBKS98,671198,1.0,1.0,0.666666666667,0.190476190476,1,1
21,conf/sigmod/BryanMCLG94,191955,1.0,1.0,0.666666666667,0.239130434783,1,1
22,conf/vldb/Bayer95,673133,0.0,0.0,0.0,0.190476190476,1,0
23,journals/sigmod/LenzVJS03,344825,0.0,0.998002995507,0.0,0.764705882353,0,0
24,conf/sigmod/OlstonWACELSS98,276377,1.0,1.0,0.666666666667,0.239130434783,1,1
25,conf/sigmod/AdaliBSS98,673639,0.0,0.999499499499,0.5,0.047619047619,0,0
26,journals/sigmod/Winslett02b,601871,1.0,1.0,0.666666666667,0.764705882353,1,0
27,conf/sigmod/BilirisDGJR94,276388,0.0,0.997997997998,0.5,0.239130434783,0,0
28,journals/sigmod/VetterliVS00,362138,1.0,1.0,0.666666666667,0.764705882353,1,1
29,conf/vldb/McKennaBHT96,335432,0.0,0.998,0.166666666667,0.0217391304348,0,0
30,conf/sigmod/RinfretOO01,672027,1.0,1.0,0.666666666667,0.047619047619,0,0
31,conf/sigmod/Mohan94,672835,1.0,1.0,0.666666666667,0.047619047619,0,0
32,journals/sigmod/Hanna95,212001,1.0,1.0,0.666666666667,0.0,0,0
33,conf/vldb/ZemankovaI94,672998,1.0,1.0,0.666666666667,0.190476190476,1,1
34,journals/vldb/TsatalosSI96,765690,1.0,1.0,0.666666666667,0.0845070422535,1,1
35,conf/sigmod/CandanLLHA01,672041,1.0,1.0,0.666666666667,0.0,0,0
36,conf/vldb/YuV00,672014,1.0,1.0,0.666666666667,0.190476190476,0,0
37,conf/vldb/LakshmananPH02,673147,0.0,0.996503496503,0.0,0.0,0,0
38,journals/sigmod/ChangGKRS98,601881,0.0,0.998001998002,0.0,0.764705882353,0,0
39,conf/vldb/AnSVKIG01,672374,1.0,1.0,0.666666666667,0.190476190476,1,1
40,conf/sigmod/PadmanabhanBMCH03,872835,1.0,1.0,0.666666666667,0.239130434783,1,1
41,journals/sigmod/PhatakSSS96,381897,1.0,1.0,0.666666666667,0.764705882353,1,1
42,conf/sigmod/CohenM03,872787,1.0,1.0,0.666666666667,0.239130434783,1,1
43,journals/vldb/HarderST99,564703,0.0,0.998501498501,0.0,0.0217391304348,0,0
44,journals/sigmod/BonifatiC00,344822,1.0,1.0,0.666666666667,0.764705882353,1,1
45,conf/vldb/Sterling98,671203,1.0,1.0,0.666666666667,0.190476190476,1,1
46,journals/sigmod/Weikum02,601867,1.0,1.0,0.666666666667,0.764705882353,1,1
47,conf/sigmod/OrdonezC00,335468,1.0,1.0,0.666666666667,0.239130434783,1,1
48,conf/vldb/ShaferA97,373638,0.0,0.9980009995,0.0,0.0588235294118,0,0
49,conf/vldb/BohlenSS96,673474,1.0,1.0,0.666666666667,0.190476190476,1,1
50,conf/vldb/FuhDCMTLDRM99,671520,1.0,1.0,0.666666666667,0.190476190476,1,1
51,conf/sigmod/LiGS02,564711,1.0,1.0,0.666666666667,0.239130434783,1,1
52,journals/vldb/Barbara-MillaG94,223842,0.0,0.999498746867,0.5,0.0217391304348,0,0
53,conf/sigmod/PatelYKTNBHRLEKGDN97,672979,0.0,0.99849774662,0.5,0.047619047619,0,0
54,conf/vldb/Banerjee00,671683,1.0,1.0,0.666666666667,0.190476190476,1,1
55,conf/sigmod/AgichteinG03,872851,1.0,1.0,0.666666666667,0.239130434783,1,1
56,conf/vldb/EsterKSWX98,253344,0.0,0.0,0.0,0.0217391304348,0,0
57,conf/vldb/Kiessling02,565131,1.0,1.0,0.666666666667,0.0588235294118,0,0
58,conf/vldb/HoelS95,673135,1.0,1.0,0.666666666667,0.190476190476,1,1
59,conf/sigmod/CeriFPP95,223886,1.0,1.0,0.666666666667,0.239130434783,1,1
60,conf/sigmod/FlorescuGKR02,564779,1.0,1.0,0.666666666667,0.239130434783,1,1
61,journals/vldb/NanopoulosM02,767130,1.0,1.0,0.666666666667,0.0845070422535,1,1
62,journals/sigmod/KempsterST99,344843,1.0,1.0,0.666666666667,0.764705882353,1,1
63,journals/sigmod/DiazJPa94,181555,1.0,1.0,0.666666666667,0.764705882353,1,1
64,conf/vldb/BrightR02,248611,0.0,0.997502497502,0.0,0.0588235294118,0,0
65,conf/sigmod/LiefkeS00,362138,1.0,1.0,0.666666666667,0.235294117647,0,0
66,conf/vldb/AmmannJR95,673164,1.0,1.0,0.666666666667,0.190476190476,1,1
67,conf/vldb/LometT95,673170,1.0,1.0,0.666666666667,0.190476190476,1,1
68,journals/sigmod/KambhampatiK03,672186,0.0,0.999001497753,0.5,0.047619047619,0,0
69,conf/vldb/SeidlK97,673655,1.0,1.0,0.666666666667,0.190476190476,1,1
70,journals/sigmod/TianDCZ02,672966,0.0,0.996003996004,0.0,0.047619047619,0,0
71,conf/vldb/MatthesS94,672986,1.0,1.0,0.666666666667,0.0,1,1
72,journals/sigmod/ShethM02,637418,1.0,1.0,0.666666666667,0.764705882353,0,0
73,conf/sigmod/ZhuSZ03,872780,1.0,1.0,0.666666666667,0.239130434783,0,0
74,journals/vldb/EvangelidisS97,765544,1.0,1.0,0.666666666667,0.0845070422535,1,1
75,conf/sigmod/ShivakumarG97,253349,1.0,1.0,0.666666666667,0.239130434783,1,1
76,conf/sigmod/HsiaoCY94,765551,0.0,0.99849774662,0.5,0.112676056338,0,0
77,journals/tods/FernandezKSMT02,582413,1.0,1.0,0.666666666667,0.53488372093,1,1
78,journals/sigmod/RossHLW01,764214,0.0,0.999500249875,0.666666666667,0.0704225352113,0,0
79,conf/vldb/Ladin00,671856,1.0,1.0,0.666666666667,0.190476190476,1,1
80,conf/sigmod/Rodriguez-Martinez00,381881,0.0,0.998,0.0,0.235294117647,0,0
81,journals/sigmod/RossFS02,601875,1.0,1.0,0.666666666667,0.764705882353,0,1
82,conf/sigmod/Englert94,191945,1.0,1.0,0.666666666667,0.239130434783,1,1
83,conf/vldb/Dasgupta96,756664,1.0,1.0,0.666666666667,0.190476190476,1,1
84,conf/vldb/Lindsay95,223813,1.0,1.0,0.666666666667,0.0,0,0
85,journals/sigmod/Konig-RiesMMPPRSVW02,362096,0.0,0.999000999001,0.666666666667,0.764705882353,0,0
86,journals/tods/Galindo-LegariaR97,244812,1.0,1.0,0.666666666667,0.53488372093,1,1
87,journals/sigmod/Vassilakis00,335473,1.0,1.0,0.666666666667,0.0869565217391,0,0
88,conf/sigmod/HaasH99,304208,1.0,1.0,0.666666666667,0.239130434783,1,1
89,conf/sigmod/ChaudhuriDN01,375694,1.0,1.0,0.666666666667,0.239130434783,1,1
90,journals/sigmod/CheungF98,290596,1.0,1.0,0.666666666667,0.764705882353,1,1
91,journals/sigmod/ShethBS99,310067,1.0,1.0,0.666666666667,0.764705882353,1,1
92,conf/vldb/GoldmanSVG98,671346,1.0,1.0,0.666666666667,0.190476190476,1,1
93,conf/vldb/FegarasE01,672209,1.0,1.0,0.666666666667,0.190476190476,1,1
94,journals/sigmod/EisenbergM98a,306144,1.0,1.0,0.666666666667,0.764705882353,1,1
95,conf/vldb/JagadishMN99,671667,1.0,1.0,0.666666666667,0.190476190476,1,1
96,conf/sigmod/Golding95,223865,1.0,1.0,0.666666666667,0.239130434783,1,1
97,conf/sigmod/MelnikRB03,872782,1.0,1.0,0.666666666667,0.239130434783,1,1
98,conf/vldb/RiedelGF98,671345,1.0,1.0,0.666666666667,0.190476190476,1,1
99,conf/vldb/RothOH99,671526,1.0,1.0,0.666666666667,0.190476190476,0,0
100,journals/tods/TaoP03,777944,1.0,1.0,0.666666666667,0.53488372093,1,1
101,conf/sigmod/AndersonBKW98,276347,1.0,1.0,0.666666666667,0.239130434783,1,1
102,conf/vldb/ManolescuFKXO00,362098,1.0,1.0,0.666666666667,0.0588235294118,0,0
103,conf/sigmod/DasGR03,375665,0.0,0.999001497753,0.5,0.239130434783,0,0
104,conf/sigmod/ZaharioudakisC97,765547,1.0,1.0,0.666666666667,0.112676056338,0,0
105,journals/vldb/OoiHLT96,673139,0.0,0.999498997996,0.5,0.190476190476,0,0
106,journals/tods/ChomickiTB01,383892,1.0,1.0,0.666666666667,0.53488372093,1,1
107,journals/tods/Ng01,375737,1.0,1.0,0.666666666667,0.195652173913,0,0
108,conf/vldb/StohrMR00,671843,1.0,1.0,0.666666666667,0.190476190476,1,1
109,journals/sigmod/ArpinarD00,362098,1.0,1.0,0.666666666667,0.764705882353,1,1
110,conf/sigmod/RoussopoulosKR97,344825,0.0,0.99899949975,0.5,0.235294117647,0,0
111,journals/sigmod/ShethMKA01,604286,1.0,1.0,0.666666666667,0.764705882353,1,1
112,conf/vldb/AbiteboulACEMM99,262770,0.0,0.99899949975,0.5,0.0588235294118,0,0
113,conf/sigmod/HaasH01,375800,1.0,1.0,0.666666666667,0.239130434783,1,0
114,conf/sigmod/LiVCAHMWBCHIKSS99,564774,0.0,0.998501498501,0.0,0.239130434783,0,0
115,journals/sigmod/GerlhofKM96,615230,0.0,0.999498997996,0.5,0.0704225352113,0,0
116,journals/sigmod/PalpanasPKG03,945722,1.0,1.0,0.666666666667,0.764705882353,0,0
117,journals/sigmod/Chen94,187460,0.0,0.0,0.0,0.764705882353,1,1
118,conf/sigmod/Brewer98,276372,1.0,1.0,0.666666666667,0.239130434783,1,1
119,conf/vldb/HinneburgAK00,335383,1.0,1.0,0.666666666667,0.0217391304348,0,0
120,conf/vldb/AgarwalADGNRS96,233324,1.0,1.0,0.666666666667,0.0217391304348,0,0
121,conf/vldb/Schoning98,671181,1.0,1.0,0.666666666667,0.190476190476,1,1
122,conf/sigmod/IoannidisLANT97,673496,0.0,0.999499248873,0.5,0.047619047619,0,0
123,conf/sigmod/Chamberlin03,872877,1.0,1.0,0.666666666667,0.0,1,1
124,conf/sigmod/GarofalakisGR02,564794,1.0,1.0,0.666666666667,0.239130434783,1,1
