#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.Title,ltable.Author,ltable.ISBN_13,ltable.Publisher,rtable.Title,rtable.Author,rtable.ISBN_13,rtable.Publisher,gold
1053848,6682,5856,View and Manage Your Photos on the iPad: The Mini Missing Manual,J. D. Biersdorfer,,O'Reilly Media,View and Manage Your Photos on the iPad: The Mini Missing Manual,J. D. Biersdorfer,978-1449390631,"O'Reilly Media, Incorporated",1
189472,1047,1259,Simulation and Its Discontents,Sherry Turkle# William J. Clancey# Stefan Helmreich# William J. Clancey# Yanni A. Loukissas# Stefan Helmreich# Natasha Myers# Yanni A. Loukissas,978-0262012706,The MIT Press,Simulation and Its Discontents,Sherry Turkle# William J. Clancey# Stefan Helmreich# Yanni A. Loukissas,978-0262012706,MIT Press,1
604047,3445,1460,Computer Concepts and Microsoft Office 2013: Illustrated,June Jamrich Parsons# Dan Oja# David W. Beskeen# Dan Oja# Carol M. Cram# David W. Beskeen# Jennifer Duffy# Carol M. Cram,978-1285092904,Course Technology,"Microsoft Office 2010: Illustrated Introductory, First Course / Edition 1",David W. Beskeen# Carol Cram# Jennifer Duffy# Lisa Friedrichsen,978-0538747158,Cengage Learning,0
384564,2128,6830,"New Perspectives on Microsoft Office XP, First Course, Windows XP Edition",Ann Shaffer# Patrick Carey# Ann Shaffer# Kathy T. Finnegan# Patrick Carey,978-0619185947,Course Technology,New Perspectives on Microsoft Word 2010: Comprehensive,S. Scott Zimmerman# Beverly B. Zimmerman# Ann Shaffer# Katherine T. Pinard,978-0538748926,Cengage Learning,0
313642,1731,6515,Model Driven Architecture: Applying MDA to Enterprise Computing,David S. Frankel,978-0471319207,Wiley,Enterprise Security Architecture: A Business-Driven Approach,Nicholas A Sherwood# Andrew Clark# David Lynas,978-1578203185,Taylor & Francis,0
225602,1244,6932,The Craft of System Security,Sean Smith# John Marchesini# Sean Smith,978-0321434838,Addison-Wesley Professional,The Craft of System Security / Edition 1,Sean Smith# John Marchesini,978-0321434838,Addison-Wesley,1
602413,3440,3132,"New Perspectives on Microsoft Windows 8, Brief",June Jamrich Parsons# Dan Oja# June Jamrich Parsons# Lisa Ruffolo# Dan Oja,978-1285080918,Course Technology,"New Perspectives on Microsoft Office Access 2010, Introductory",Joseph J. Adamski# Dan Oja# Kathy T. Finnegan,978-0538798488,Cengage Learning,0
864449,5108,1170,Canon EOS 40D Guide to Digital Photography,David D. Busch,,,David Busch's Canon EOS Rebel SL1/100D Guide to Digital SLR Photography,David D. Busch,978-1285839165,Cengage Learning,0
36238,239,567,"CompTIA Security+ Certification Bundle, Second Edition",Glen E. Clarke# Daniel Lachance# Glen E. Clarke,978-0071834261,McGraw-Hill Education,"CompTIA Security+ Certification Study Guide, Second Edition (Exam SY0-401)",Glen E. Clarke,978-0071841283,McGraw-Hill Professional Publishing,0
421143,2308,9094,Microsoft SharePoint 2013 Step by Step,Olga Londer# Penelope Coventry,978-0735667037,Microsoft Press,Exploring Microsoft SharePoint 2013: New Features & Functions,Penelope Coventry,978-0735675520,Microsoft Press,0
650626,3710,2971,Official,Joseph Steinberg# Harold F. Tipton# Joseph Steinberg,978-1420094435,Auerbach Publications,The Official Ubuntu Book,Matthew Helmke# Elizabeth Joseph# Jose Antonio Rey# Philip Ballew,978-0133905397,Prentice Hall,0
29074,184,9971,"Kinect Open Source Programming Secrets: Hacking the Kinect with OpenNI, NITE, and Java",Andrew Davison,,,"Kinect Open Source Programming Secrets: Hacking the Kinect with OpenNI, NITE, and Java",Andrew Davison,978-0071783170,McGraw-Hill Professional Publishing,1
604857,3446,4448,Microsoft Word 2013: Illustrated Complete,Jennifer Duffy# Carol Cram# Jennifer Duffy,978-1285093116,Course Technology,Microsoft Office Word 2010: Illustrated Brief / Edition 1,Jennifer Duffy,978-0538748223,Cengage Learning,0
586911,3328,9485,Outlook 2016 For Dummies,Bill Dyszel,,,C# 2010 All-in-One For Dummies,Bill Sempf# Stephen Randy Davis# Charles Sphar,978-0470563489,Wiley,0
289863,1613,4101,Fiber-Optic Communication Systems,Govind P. Agrawal,978-0470505113,Wiley,Modern Digital and Analog Communication Systems.,B. P. Lathi,978-0195384932,Oxford University Press,0
818019,4819,1882,Cisco ISP Essentials,Barry Raveendran Greene# Philip Smith,978-1587050411,Cisco Press,Linux Essentials,Roderick W. Smith,978-1118106792,Wiley,0
353243,1942,929,Microsoft Excel 2010: Illustrated Brief,Elizabeth Eisner Reding,978-0538749282,Course Technology,Microsoft Excel 2013: Illustrated Brief,Elizabeth Eisner Reding,978-1285093215,Cengage Learning,0
981762,6080,6274,Fundamentals of Computer Security,Josef Pieprzyk# Thomas Hardjono# Jennifer Seberry# Thomas Hardjono,978-3540431015,Springer,Fundamentals of Computational Neuroscience / Edition 2,Thomas Trappenberg,978-0199568413,Oxford University Press,0
575699,3253,3735,PCs For Dummies,Dan Gookin,978-1118197349,For Dummies,Laptops For Dummies,Dan Gookin,978-1118115336,Wiley,0
156565,836,5443,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,,,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,978-0140291773,Penguin Publishing Group,1
51874,345,7530,"Microsoft Office Word 2010: A Case Approach, Introductory",Linda O'Leary# Timothy O'Leary# Linda O'Leary,978-0077331283,McGraw-Hill Education,"The O'Leary Series: Microsoft Office Word 2013, Introductory / Edition 1",Linda O'Leary# Timothy O'Leary,978-0077400217,McGraw-Hill Professional Publishing,0
422078,2315,421,MOS 2013 Study Guide for Microsoft Excel Expert,Mark Dodge,978-0735669215,Microsoft Press,MOS 2013 Study Guide for Microsoft Excel Expert,Mark Dodge,978-0735669215,Microsoft Press,1
644876,3677,1649,"Teachers Discovering Computers: Integrating Technology and Digital Media in the Classroom, Fourth Edition",Gary B. Shelly# Thomas J. Cashman# Glenda A. Gunter# Randolph E. Gunter# Glenda A. Gunter,978-1418859879,Course Technology,Teachers Discovering Computers: Integrating Technology in a Connected World / Edition 7,Gary B. Shelly# Glenda A. Gunter# Randolph E. Gunter,978-1133526551,Cengage Learning,0
784933,4618,2653,Advanced Adobe Photoshop for Macintosh Classroom in a Book,Adobe Creative Team,978-1568301174,Adobe Pr,Adobe Premiere Elements 8 Classroom in a Book,Adobe Creative Team,978-0132089319,Pearson Education,0
485283,2715,7599,"CompTIA A+ 220-801 and 220-802 Cert Guide, Deluxe Edition",Mark Edward Soper# David L. Prowse# Scott Mueller# David L. Prowse,978-0789749802,Pearson IT Certification,CompTIA A+ Quick Reference (220-801 and 220-802),Mark Edward Soper,978-0133134377,Pearson Education,0
300185,1678,6421,Knight's Microsoft Business Intelligence 24-Hour Trainer,Brian Knight# Devin Knight# Adam Jorgensen# Patrick LeBlanc# Mike Davis,978-0470889633,Wrox,Knight's 24-Hour Trainer: Microsoft SQL Server 2008 Integration Services [With DVD],Brian Knight# Devin Knight# Mike Davis,978-0470496923,Wiley,0
358080,1973,6482,Dreamweaver MX: The Missing Manual,David McFarland,978-0596003494,O'Reilly Media,AppleScript: The Missing Manual: The Missing Manual,Adam Goldstein# David Reynolds# Tonya Engst,978-0596008505,"O'Reilly Media, Incorporated",0
687586,3933,5495,David Busch's Compact Field Guide for the Canon EOS Rebel T3/1100D,David D. Busch,978-1435460300,Cengage Learning PTR,David Busch's Compact Field Guide for the Nikon D3100,David D. Busch,978-1435459946,Cengage Learning,0
773551,4531,5882,Persuasive Technology: Using Computers to Change What We Think and Do,B.J. Fogg,978-1558606432,Morgan Kaufmann,Persuasive Technology: Using Computers to Change What We Think and Do / Edition 1,B.J. Fogg,978-1558606432,Elsevier Science,1
