ID,Title,Author,Price,Edition,ASIN,ISBN-13,ISBN-10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight,,,,,
1,Steve Jobs: A Biography,Walter Isaacson,$29.00 ,,,978-0002160636,2160633,,,Tian Xia Wen Hua ,Tian Xia Wen Hua,,,Chinese,8.6 x 6.1 x 2.1 inches,2.7 pounds,,,,,
2,Introduction to Control System Technology,Robert N. Bateson,$10.00 ,4th Edition,,978-0023064630,23064633,,,Macmillan Coll Div,Macmillan Coll Div,,,English,1.2 x 7.5 x 9 inches,3 pounds,,,,,
3,Computer Assisted Structural Analysis and Modeling,Marc Ira Hoit,$20.64 ,1st Edition,,978-0023559723,23559721,,,Prentice Hall College Div,Prentice Hall College Div,,,English,1 x 7.8 x 9.8 inches,2 pounds,,,,,
4,Computer Numerical Control Programming of Machines,Larry D. Horath,$0.20 - $141.40,1st Edition,,978-0023572012,23572019,268 pages,,Prentice Hall,Prentice Hall,,,English,6.4 x 0.7 x 9.5 inches,14.6 ounces (View shipping rates and policies),,,,,
5,Pascal Programming and Problem Solving ,Sanford Leestma# Larry Nyhoff,$24.98 - $186.80,4th Edition,,978-0023887314,23887311,969 pages,,Pearson,Pearson,,,English,6.8 x 2 x 9.9 inches,3.4 pounds (View shipping rates and policies),,,,,
6,Computer Networking Concepts,Emilio Ramos# Al Schroeder# Ann Beheler,$0.99 ,1st Edition,,978-0024080318,24080314,,,Prentice Hall,Prentice Hall,,,English,7.8 x 0.8 x 9.5 inches,1.9 pounds,,,,,
7,Digital Computer Electronics,Albert P. Malvino# Jerald A Brown# Albert P. Malvino,$25.72 ,3rd Edition,,978-0028005942,28005945,,,Career Education,Career Education,,,English,9.8 x 1.3 x 11.3 inches,3 pounds,,,,,
8,Digital Principles and Applications,Donald P. Leach# Albert Paul Malvino,$29.19 ,5th Edition,,978-0028018218,28018214,,,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.5 x 1.2 x 9.3 inches,2.8 pounds,,,,,
9,"Experiencing Music Technology: Software, Data, and Hardware",David Brian Williams# Peter Richard Webster,$48.95 ,,,,,,,,,,,,,,,,,,
10,Communication Technology ,Everett M. Rogers,$17.25 ,,,,,,,,,,,,,,,,,,
11,Handbook of Computer Communication Stds Volume 2 ,Willam Stalings,$0.01 ,,,978-0029480700,29480701,,The Macmillan database / data communications series (Book 2),Macmillan Publishing ,Macmillan Publishing,,,English,9.4 x 6.1 x 0.8 inches,1.2 pounds,,,,,
12,Robotics: Basic Analysis and Design ,William A. Wolovich,$67.95 ,,,978-0030061196,30061199,,The Oxford Series in Electrical and Computer Engineering,Oxford University Press ,Oxford University Press,,,English,9.5 x 7.3 x 0.9 inches,1.7 pounds,,,,,
13,Multimedia and the Web: Creating Digital Excitement ,Calleen Coorough# James E. Shuman,$0.33 ,1st Edition,,978-0030321887,30321883,384 pages,Harcourt College Publishers Series in Computer Technology,Course Technology,Course Technology,,,English,10.3 x 8.5 x 0.6 inches,1.8 pounds,,,,,
14,Cyber War: The Next Threat to National Security and What to Do About It,Richard A. Clarke# Robert Knake,$13.79 ,,,,,,,,,,,,,,,,,,
15,Tubes: A Journey to the Center of the Internet,Andrew Blum,$12.88 ,,,,,,,,,,,,,,,,,,
16,Machines of Loving Grace: The Quest for Common Ground Between Humans and Robots,John Markoff,$17.30 ,,,,,,,,,,,,,,,,,,
