"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"

"1","Steve Jobs: A Biography","Walter Isaacson","$29.00","","","978-0002160636","0002160633","","","Tian Xia Wen Hua (October 1, 2011)","","","","","Chinese","8.6 x 6.1 x 2.1 inches","2.7 pounds"
"2","Introduction to Control System Technology","Robert N. Bateson","$10.00","4th Edition","","978-0023064630","0023064633","","","Macmillan Coll Div; 4th edition (August 1992)","","","","","English","1.2 x 7.5 x 9 inches","3 pounds"
"3","Computer Assisted Structural Analysis and Modeling","Marc Ira Hoit","$20.64","1st Edition","","978-0023559723","0023559721","","","Prentice Hall College Div; 1 edition (January 31, 1995)","","","","","English","1 x 7.8 x 9.8 inches","2 pounds"
"4","Computer Numerical Control Programming of Machines","Larry D. Horath","$0.20 - $141.40","1st Edition","","978-0023572012","0023572019","268 pages","","Prentice Hall; 1 edition (January 16, 1993)","","","","","English","6.4 x 0.7 x 9.5 inches","14.6 ounces (View shipping rates and policies)"
"5","Pascal Programming and Problem Solving (4th Edition)","Sanford Leestma; Larry Nyhoff","$24.98 - $186.80","4th Edition","","978-0023887314","0023887311","969 pages","","Pearson; 4 edition (February 8, 1993)","","","","","English","6.8 x 2 x 9.9 inches","3.4 pounds (View shipping rates and policies)"
"6","Computer Networking Concepts","Emilio Ramos; Al Schroeder; Ann Beheler","$0.99","1st Edition","","978-0024080318","0024080314","","","Prentice Hall; 1 edition (July 31, 1995)","","","","","English","7.8 x 0.8 x 9.5 inches","1.9 pounds"
"7","Digital Computer Electronics","Albert P. Malvino; Jerald A Brown; Albert P. Malvino","$25.72","3rd Edition","","978-0028005942","0028005945","","","Career Education; 3 edition (July 1, 1992)","","","","","English","9.8 x 1.3 x 11.3 inches","3 pounds"
"8","Digital Principles and Applications","Donald P. Leach; Albert Paul Malvino","$29.19","5th Edition","","978-0028018218","0028018214","","","McGraw-Hill Science/Engineering/Math; 5 edition (January 20, 1994)","","","","","English","7.5 x 1.2 x 9.3 inches","2.8 pounds"
"9","Experiencing Music Technology: Software, Data, and Hardware","David Brian Williams; Peter Richard Webster","$48.95","","","","","","","","","","","","","",""
"10","Communication Technology (Series in Communication Technology and Society)","Everett M. Rogers","$17.25","","","","","","","","","","","","","",""
"11","Handbook of Computer Communication Stds Volume 2 (The Macmillan database / data communications series) (v. 2)","Willam Stalings","$0.01","","","978-0029480700","0029480701","","The Macmillan database / data communications series (Book 2)","Macmillan Publishing (March 1, 1988)","","","","","English","9.4 x 6.1 x 0.8 inches","1.2 pounds"
"12","Robotics: Basic Analysis and Design (The Oxford Series in Electrical and Computer Engineering)","William A. Wolovich","$67.95","","","978-0030061196","0030061199","","The Oxford Series in Electrical and Computer Engineering","Oxford University Press (June 8, 1995)","","","","","English","9.5 x 7.3 x 0.9 inches","1.7 pounds"
